,ACTR3B,ANLN,BAG1,BCL2,BIRC5,BLVRA,CCNB1,CCNE1,CDC20,CDC6,CDCA1,CDH3,CENPF,CEP55,CXXC5,EGFR,ERBB2,ESR1,EXO1,FGFR4,FOXA1,FOXC1,GPR160,GRB7,KIF2C,KNTC2,KRT14,KRT17,KRT5,MAPT,MDM2,MELK,MIA,MKI67,MLPH,MMP11,MYBL2,MYC,NAT1,ORC6L,PGR,PHGDH,PTTG1,RRM2,SFRP1,SLC39A6,TMEM45B,TYMS,UBE2C,UBE2T
212,-0.7290000000000001,-2.1959999999999997,2.628,0.151,-1.9580000000000002,0.961,-1.577,-0.866,-2.4459999999999997,-2.461,-1.869,0.382,-1.061,-1.35,1.071,0.013999999999999999,3.2110000000000003,2.6060000000000003,-2.141,-1.87,3.2289999999999996,-1.45,2.6180000000000003,0.762,-2.519,-2.522,0.971,0.035,-0.6459999999999999,-0.051,-0.20800000000000002,-1.314,-0.489,-2.252,0.715,3.2089999999999996,-2.484,-2.338,3.9819999999999998,0.0,0.977,-2.9219999999999997,-1.645,-2.496,-0.281,2.208,-2.135,-3.24,-0.975,-1.348
213,-1.79,-2.3040000000000003,-0.258,0.225,-2.764,0.16399999999999998,-1.5330000000000001,-1.357,-1.7790000000000001,-2.965,-1.489,0.289,-1.225,-2.14,0.136,-0.049,1.169,4.749,-2.445,-2.2840000000000003,2.812,-2.03,1.79,0.6,-2.115,-1.642,-0.183,-1.807,-1.209,0.363,-0.10400000000000001,-1.847,-2.755,-2.9160000000000004,0.893,3.847,-2.499,-1.28,3.659,-2.443,1.034,-3.553,-1.7830000000000001,-3.028,-1.4580000000000002,1.306,-0.348,-2.3,-0.7829999999999999,-1.601
214,-0.789,-3.13,1.994,0.33899999999999997,-2.3080000000000003,-0.047,-1.895,-1.446,-2.494,-2.67,-2.282,-1.479,-2.891,-1.66,-0.38799999999999996,0.17,0.6609999999999999,3.826,0.0,-2.986,2.185,-3.34,0.6829999999999999,0.773,-3.017,-1.5090000000000001,-0.379,-2.242,-1.906,1.005,0.131,-2.738,0.0,-2.859,1.915,3.32,-3.645,-1.9069999999999998,1.462,0.0,0.8590000000000001,-3.4,-1.8869999999999998,-2.25,0.0,1.204,-1.4280000000000002,-2.76,-1.882,-1.565
215,0.027999999999999997,-2.588,-0.067,1.0,-2.958,1.073,-2.1919999999999997,-0.672,-2.004,-2.117,-2.6039999999999996,2.4459999999999997,-2.648,-2.11,-0.302,-0.27,1.473,0.934,-2.634,-1.7919999999999998,1.83,-2.12,1.6369999999999998,0.785,-2.888,-1.024,0.175,-0.541,-0.551,0.757,0.326,-2.241,-1.9409999999999998,-1.5719999999999998,1.4880000000000002,5.422999999999999,-2.303,-3.068,2.313,-2.787,0.968,-2.155,-2.244,-2.89,-1.745,-1.041,-0.067,-3.41,-2.488,-1.8869999999999998
216,-0.153,-4.723,1.196,0.223,-3.877,1.4369999999999998,-3.25,-1.7730000000000001,-2.4859999999999998,-3.1710000000000003,-4.303999999999999,-0.06,-3.905,-3.6,-0.166,-0.45799999999999996,2.53,4.627,-3.665,-2.174,3.9760000000000004,-1.14,0.21600000000000003,0.78,-3.7960000000000003,-4.034,0.903,1.308,-0.059000000000000004,1.8419999999999999,0.395,-3.9530000000000003,0.857,-4.237,0.8270000000000001,3.5260000000000002,-3.66,-2.186,2.15,-3.523,-0.27699999999999997,-2.966,-2.99,-3.292,-0.364,1.7990000000000002,-1.7519999999999998,-3.97,-2.638,-2.521
217,0.316,-2.182,-1.193,0.098,-1.9969999999999999,-1.676,-1.0979999999999999,-1.284,-1.6219999999999999,-2.408,-1.298,-0.446,-1.195,-1.67,0.152,0.324,1.4709999999999999,2.9760000000000004,-1.811,-1.694,2.6660000000000004,-2.5,1.661,0.546,-2.096,-2.12,-0.665,-2.6919999999999997,-1.272,1.8019999999999998,0.17,-1.44,0.0,-0.9570000000000001,1.445,4.684,-2.6430000000000002,-0.33299999999999996,1.199,0.0,0.946,-3.866,-1.329,-3.228,-2.084,-0.6759999999999999,-0.027999999999999997,-2.18,-1.286,-0.9109999999999999
218,0.03,-4.45,0.747,0.857,-4.486000000000001,-2.103,-3.7710000000000004,-2.01,-3.148,0.0,0.0,0.053,-4.449,-4.402,0.247,0.193,1.073,5.306,0.0,-2.419,3.345,-1.54,0.8390000000000001,0.856,-3.301,-4.346,0.772,0.687,-0.245,1.043,0.625,0.0,-0.5760000000000001,0.0,0.8909999999999999,1.014,-3.778,-1.206,3.102,0.0,1.3030000000000002,-2.736,-4.12,-4.573,1.409,2.166,-1.808,-5.16,-1.5730000000000002,-3.415
219,-0.581,0.0,-0.033,1.046,-3.225,1.544,-2.6069999999999998,-0.9359999999999999,-2.011,-2.823,-3.822,-0.204,-4.449,0.0,-0.391,-0.040999999999999995,2.782,0.28600000000000003,0.0,-1.801,2.541,-1.21,-0.23,0.9,-2.681,-3.22,0.276,-0.907,-0.963,0.022000000000000002,0.684,-3.205,-1.21,-3.0380000000000003,1.584,3.722,-2.9989999999999997,-4.095,2.387,-3.062,1.275,-3.1430000000000002,-2.261,-2.397,-0.6890000000000001,-0.914,0.053,-3.7,-2.3169999999999997,-2.5860000000000003
220,-1.528,0.0,-0.086,0.805,-2.6710000000000003,0.561,-2.905,-0.905,-1.7990000000000002,-1.9509999999999998,0.0,0.863,-4.496,-3.92,0.429,0.515,3.73,2.012,-3.617,-1.495,2.736,-0.81,0.733,1.2890000000000001,-2.495,-4.2860000000000005,0.455,-0.052000000000000005,-0.611,0.349,0.54,-2.6289999999999996,-1.109,-2.7260000000000004,0.738,4.975,-2.799,-2.747,3.025,-3.216,0.809,-2.178,-2.4819999999999998,-3.842,-1.936,1.695,0.053,-3.63,-1.074,-2.411
221,-0.9,-3.611,-0.135,0.41100000000000003,-1.979,0.85,-1.224,-1.236,-2.295,-1.5230000000000001,-2.7710000000000004,1.0590000000000002,-2.753,-1.87,0.657,0.125,1.5630000000000002,4.031000000000001,-2.332,-1.4169999999999998,2.265,-1.92,1.341,0.855,-3.2460000000000004,-2.49,-0.467,-1.6380000000000001,-0.75,0.008,0.507,-3.022,-2.8339999999999996,-0.9690000000000001,0.767,3.2260000000000004,-2.63,-1.146,0.8759999999999999,-2.665,1.081,-3.3,-1.24,-2.647,-2.081,-0.316,-0.36700000000000005,-3.25,-0.139,-1.413
